model,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_ci_low,paired_rmse_delta_ci_high
per_drug_mean,1.4541692839110592,1.6335159465867626,1.1039524346725302,1.2554818226467843,0.20408425722853721,0.35998707992817253
pooled_ridge,1.2898844160640295,1.4208998826305879,0.97086763589420966,1.0697424138385336,0.067301116924211868,0.11542956681640232
per_drug_ridge,1.1969256468771621,1.329700906761162,0.90454533502704715,1.004607664868769,0,0
mlp_seed_17,1.2523308646792957,1.4062270296910013,0.93944154483285136,1.0535767898786108,0.03633206084239414,0.094975373935672583
mlp_seed_29,1.2572935621775068,1.416779983124987,0.94808041272639887,1.0685149257995479,0.04129389461920608,0.10734920981728745
mlp_seed_43,1.2576572462179354,1.4168747054873934,0.95054007929875972,1.0733815347944446,0.039060797687535252,0.10799762218427837
mlp_three_seed_mean,1.2555232553606217,1.4142042016996457,0.9461882558300837,1.0648445459943974,0.039758634838773663,0.10218514286707253
