run_id,seed,epoch,train_batch_mse,train_eval_rmse,train_eval_mae,validation_rmse,validation_mae,best_epoch_so_far
gnn_seed_17,17,1,10.347830385000471,2.7684619023990367,2.064178107034556,2.725837738815462,2.1122584465059075,1
gnn_seed_17,17,2,7.3429321480495329,2.6533954684804297,2.0131821869792219,2.7030122395606537,2.1397166650282213,2
gnn_seed_17,17,3,6.9398925186817966,2.6026110452209696,1.9837990408426815,2.6699033517143094,2.1152763844214251,3
gnn_seed_17,17,4,6.7132158497308758,2.5645362057945982,1.9516892364325882,2.6252052748171577,2.0652647708930099,4
gnn_seed_17,17,5,6.4971218939975577,2.5056584462902731,1.9151536135288962,2.5715143744558504,2.024186997655447,5
gnn_seed_17,17,6,6.0563181027291408,2.4318525328731293,1.9051872642147265,2.555738540071669,2.0506574187564217,6
gnn_seed_17,17,7,5.776114350327469,2.3585778253683132,1.810148132605359,2.4475573632559682,1.9221997930979255,7
gnn_seed_17,17,8,5.5009754093692624,2.305575008470115,1.7714019832756704,2.4053568758216168,1.8885030633650886,8
gnn_seed_17,17,9,5.2303145173172174,2.2259624159710834,1.7001064384703641,2.3249180706899644,1.8137808724200735,9
gnn_seed_17,17,10,4.8528484950964765,2.1151566213964088,1.6306294325945376,2.2465255248109672,1.7666704993184328,10
gnn_seed_17,17,11,4.2742363612801633,2.0248800242967975,1.514423808605118,2.0682336910891284,1.5788917595085086,11
gnn_seed_17,17,12,3.9050940981842768,1.8637061554292198,1.4286736296975893,1.9966947714808008,1.5636840505108596,12
gnn_seed_17,17,13,3.5700203874361502,1.8117078791583388,1.3804911544058771,1.9295497148034682,1.5049159733558715,13
gnn_seed_17,17,14,3.3534992140197657,1.7593468463294857,1.3483178708599104,1.8998363232709574,1.4897176816562123,14
gnn_seed_17,17,15,3.1551986443620974,1.7078199547757045,1.3270039380818628,1.9177596529040011,1.5138553384482263,14
gnn_seed_17,17,16,3.00561346370338,1.6650247965566614,1.2775729644932221,1.8442430305813551,1.4425775852841836,16
gnn_seed_17,17,17,2.9396050274772909,1.648759291324724,1.262409732092729,1.8113527771842455,1.4170398269055562,17
gnn_seed_17,17,18,2.8422966464774659,1.663564465501211,1.2573655259580145,1.7737150545228508,1.3746338451182787,18
gnn_seed_17,17,19,2.8676910944593166,1.6005956625597415,1.2317287262931675,1.820424923120008,1.4287830848714449,18
gnn_seed_17,17,20,2.8120398583091673,1.5975368668312617,1.2384625377800422,1.8327877629361684,1.4480831768458813,18
gnn_seed_17,17,21,2.6917094385620577,1.5993058363001182,1.2456774601881777,1.889170071520083,1.4982900784118562,18
gnn_seed_17,17,22,2.6900243681827507,1.5831490376331645,1.1995913254058042,1.7437561986727397,1.354567158985859,22
gnn_seed_17,17,23,2.653076667935975,1.5739509629635955,1.2148309512413011,1.8663986151386882,1.4697006509910342,22
gnn_seed_17,17,24,2.6021208752832075,1.5417786613603532,1.1778990693536968,1.7799860198631763,1.3920307033133315,22
gnn_seed_17,17,25,2.5345703389629484,1.5276594896968105,1.1651890013480373,1.762443075872778,1.3784930177306702,22
gnn_seed_17,17,26,2.5689870983831047,1.5277517115943891,1.1711347637763823,1.801632107190452,1.4144586791089104,22
gnn_seed_17,17,27,2.5448684526467402,1.5220107009626831,1.1579808851125892,1.7409462909808098,1.3597793498995669,27
gnn_seed_17,17,28,2.5245343692994777,1.5965240377147376,1.2471679750247491,1.9721543278756151,1.5775182210784384,27
gnn_seed_17,17,29,2.4992502391146334,1.5202793524850218,1.1727039835583222,1.840958005760309,1.4551223619685099,27
gnn_seed_17,17,30,2.429237684474121,1.4993004851991292,1.1360798829891601,1.7177236400796909,1.3398666529902179,30
gnn_seed_17,17,31,2.3944945549698695,1.4891795734354918,1.1341099553768552,1.7228098201936184,1.3494416773028075,30
gnn_seed_17,17,32,2.3760653183852689,1.5004477132496052,1.1557896956870313,1.8416873968506777,1.4590970064986657,30
gnn_seed_17,17,33,2.4184881643109106,1.4997954897249892,1.1593154036338995,1.8481227928371435,1.4683403444666894,30
gnn_seed_17,17,34,2.3416220080478545,1.4957579311702014,1.1315255386426581,1.6791636558400529,1.3087715822154982,34
gnn_seed_17,17,35,2.3307590438386532,1.4744362811079117,1.1352739680328607,1.8148739677812218,1.4375503760600667,34
gnn_seed_17,17,36,2.3296580511273954,1.4567402553292288,1.1190561950538447,1.7707083977927189,1.3992011833721443,34
gnn_seed_17,17,37,2.3448878938195121,1.4982313573572779,1.1318155707831419,1.6726290838641422,1.3019036069067662,37
gnn_seed_17,17,38,2.2772611771593909,1.4435274177426449,1.1059018836669776,1.7622527370041869,1.3904182995442398,37
gnn_seed_17,17,39,2.3356247186041847,1.4437628362819495,1.1038926230031767,1.7582339640929676,1.3856541958789379,37
gnn_seed_17,17,40,2.2625690702426664,1.4525153671512181,1.117755061265141,1.8063659480338536,1.4317234151916662,37
gnn_seed_17,17,41,2.2165715554350145,1.4368866940494007,1.1035213996129263,1.7853657105243652,1.4136583402448457,37
gnn_seed_17,17,42,2.2062031819815706,1.4212221249049257,1.0878252810239095,1.74130916616719,1.3746905804435969,37
gnn_seed_17,17,43,2.1948534423892672,1.4187597161273735,1.0759584287425779,1.6831160035114789,1.3183831005010802,37
gnn_seed_17,17,44,2.1650946814837977,1.5056528133845994,1.1755013218930366,1.9315708071325746,1.5500878805534501,37
gnn_seed_17,17,45,2.2002498219608495,1.5107635449054433,1.1869689820662714,1.9507085413479908,1.5756005191893485,37
gnn_seed_17,17,46,2.2443499203428918,1.4871202450392442,1.1198430696534392,1.6288116633959582,1.2642615616872366,46
gnn_seed_17,17,47,2.1692520231292822,1.4102882104653951,1.0703836653456971,1.6730773460403876,1.3123122096081294,46
gnn_seed_17,17,48,2.1254691364946146,1.3948979024595074,1.0671823823788107,1.7401419377331659,1.3755661650176783,46
gnn_seed_17,17,49,2.1088060216669837,1.3893346246667828,1.0625023745777999,1.7345104842770991,1.3718316049675092,46
gnn_seed_17,17,50,2.1073314646323675,1.3854671345061587,1.0593713961098163,1.7365253552202387,1.3728221444489053,46
gnn_seed_17,17,51,2.1033452982764276,1.5089980308240696,1.1896741505359656,1.9711654674348231,1.5984294052476744,46
gnn_seed_17,17,52,2.2563931123072365,1.3969702506383745,1.0741136133339926,1.7765868102066453,1.4112529335628305,46
gnn_seed_17,17,53,2.1106184212024219,1.3897202007543634,1.051674309422989,1.6488075957929982,1.2906752762611053,46
gnn_seed_17,17,54,2.0948549742187574,1.3765933759317128,1.0517583923558131,1.7402152107738889,1.3752680016299905,46
gnn_seed_17,17,55,2.0400288669682642,1.3649945926259854,1.0412596039062829,1.7117261266697177,1.3512138810902379,46
gnn_seed_17,17,56,2.0300655974253989,1.3693515371216989,1.0445770867978099,1.669541778173838,1.3167111822028281,46
gnn_seed_29,29,1,10.589808883991516,2.7865219503599157,2.0559700653923549,2.7219709749393108,2.0575961837387067,1
gnn_seed_29,29,2,7.3549684932367398,2.6573013343427947,2.0211535363036202,2.6878144379345361,2.1102824747709183,2
