model,n_rows,n_cell_lines,n_drugs,rmse,mae,equal_drug_mean_rmse,median_within_drug_spearman,spearman_n_eligible_drugs,spearman_defined_drugs,rmse_sample_sd,mae_sample_sd,equal_drug_mean_rmse_sample_sd,median_within_drug_spearman_sample_sd,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_vs_per_drug_ridge_ci_low,paired_rmse_delta_vs_per_drug_ridge_ci_high,split_seed
pooled_ridge,13581,120,136,1.3480084596239297,1.0129123227844681,1.2826227022804717,0.43945170866920819,136,136,,,,,1.2907923656344842,1.4069484333153692,0.96970650062590802,1.0600334840124108,0.073859219541058799,0.1228175996981422,29
per_drug_ridge,13581,120,136,1.2501955251666066,0.94033213792447357,1.1925159398025846,0.50623796303102597,136,136,,,,,1.1893808262332997,1.3134822880059307,0.89532787165116001,0.98905853160991075,0,0,29
mlp_seed_17,13581,120,136,1.3153355822562065,0.98904469950661322,1.3039644737184712,0.45116832896024178,136,136,,,,,1.2347597132490842,1.3960888806822798,0.93096831777265243,1.0492229312399699,0.0142345110265619,0.1195217036423353,29
mlp_seed_29,13581,120,136,1.3180383387719934,0.98951191773969083,1.3078507792069081,0.45314862836546321,136,136,,,,,1.2483487650796803,1.3905950126477415,0.93810048821904002,1.0460608845551134,0.022886463252134899,0.11244802583666889,29
mlp_seed_43,13581,120,136,1.284143433356826,0.96400500759217678,1.2598898385780188,0.46423910810910979,136,136,,,,,1.2204916430067323,1.3501680384953367,0.91773160731532677,1.0149983222016683,0.0035880444781010998,0.066381815087957999,29
mlp_three_seed_mean,13581,120,136,1.3058391181283415,0.98085387494616016,1.290568363834466,0.45618535514493819,136,136,0.018837549640933801,0.014593417062272501,0.026639346398142201,0.0070446858723087003,1.2364408678524426,1.3773307848992489,0.93083222145104516,1.0356665524801494,0.015937474108404799,0.096675272551976096,29
per_drug_mean,13709,120,136,1.4779030338872576,1.1248143293733848,1.3880184541246248,,136,0,,,,,1.3967805314294943,1.5614805984988325,1.0607941450427347,1.1894896256649834,0.21938770320014009,0.35568760496716562,31
pooled_ridge,13709,120,136,1.3072858844410038,0.98885998846233636,1.2424070448012701,0.5232044623637544,136,136,,,,,1.2547885751810888,1.3570294863520067,0.94735308358518056,1.0290795082752553,0.095587777356687803,0.1367988019726919,31
per_drug_ridge,13709,120,136,1.1918097063286917,0.89347004239943717,1.1439228258217859,0.56520250585554666,136,136,,,,,1.1359692452431518,1.2462458257617419,0.85063144935461965,0.93735041578608203,0,0,31
mlp_seed_17,13709,120,136,1.2785042087309959,0.96444156606052922,1.2178601039805992,0.50818708318708306,136,136,,,,,1.2160780433574951,1.3395626877292717,0.91662825934651715,1.0118535384955052,0.055703151545378103,0.11681567655150379,31
