model,pca_components,n_splits,rmse_median,rmse_min,rmse_max,mae_median,equal_drug_mean_rmse_median,median_within_drug_spearman_median,wins_vs_pca128
per_drug_ridge,64,5,1.2564000520991083,1.2033286636270661,1.2679212915659652,0.94232549667149945,1.2059124111179904,0.55629398233031213,1
per_drug_ridge,128,5,1.2501955251666066,1.1918097063286917,1.2614406843038914,0.94033213792447357,1.1925159398025846,0.56543266828124394,
per_drug_ridge,256,5,1.233451877538621,1.1919802605347725,1.2438939253535861,0.92562059797996576,1.1743836292651295,0.56680720530536943,4
pooled_ridge,64,5,1.3488397273035786,1.2970498325579343,1.3602120229638404,1.0075306149941365,1.2836300552695246,0.50927167994949896,2
pooled_ridge,128,5,1.345771785936321,1.2988541417169108,1.3583575407430108,1.0049667412583756,1.2826227022804717,0.5232044623637544,
pooled_ridge,256,5,1.3353156542602187,1.2950436035321351,1.344362021396198,0.99841745067805021,1.2720335198213444,0.51621068832141925,5
