model,n_splits,rmse_median,rmse_min,rmse_max,paired_rmse_delta_median_vs_per_drug_ridge,paired_rmse_delta_min_vs_per_drug_ridge,paired_rmse_delta_max_vs_per_drug_ridge,splits_with_lower_rmse_than_per_drug_ridge
mlp_seed_17,5,1.3153355822562065,1.2779088281869408,1.3522367626964544,0.086694502402304252,0.065140057089599912,0.10121786928339627,0
mlp_seed_29,5,1.3180383387719934,1.2571520912195533,1.3346904634206314,0.071595319802965518,0.065342384890861638,0.083671570007573193,0
mlp_seed_43,5,1.3072091022379413,1.2560263820199329,1.3561334098879461,0.088244883514781991,0.033947908190219422,0.10975699670368799,0
mlp_three_seed_mean,5,1.3058391181283415,1.2638942273234941,1.347686878668344,0.082834706685332105,0.055643592961734933,0.09666798525528586,0
per_drug_mean,5,1.4911251000340275,1.449622969431722,1.5855794394726812,0.28609332755856598,0.24092957486742095,0.33456054605962304,0
per_drug_ridge,5,1.2501955251666066,1.1918097063286917,1.2614406843038914,0,0,0,0
pooled_ridge,5,1.345771785936321,1.2988541417169108,1.3583575407430108,0.097812934457323086,0.094752892523262799,0.11547617811231214,0
