split_seed,model,pca_components,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_vs_pca128_ci_low,paired_rmse_delta_vs_pca128_ci_high
19,pooled_ridge,64,1.2954873251437282,1.4035881300007831,0.96676797622486488,1.051533297314009,-0.010769282904607986,0.017890473257287525
19,pooled_ridge,128,1.2940410120915564,1.3971450858322063,0.96430968267557371,1.0467478806115122,0,0
19,pooled_ridge,256,1.286524942277224,1.3840632773686798,0.96148775671666875,1.0371363784747016,-0.024111716998648919,0.0030741423913804478
19,per_drug_ridge,64,1.1991712069161407,1.3127253981001832,0.89965953630049278,0.98913722116622693,-0.0096719045856034132,0.021136862624454009
19,per_drug_ridge,128,1.1963704299529514,1.3033997409312041,0.89872529430911952,0.98393928479049353,0,0
19,per_drug_ridge,256,1.1912017308307219,1.2896094831703435,0.89356729864834861,0.97300362833130549,-0.024001758522088846,0.0056834929390748874
23,pooled_ridge,64,1.2453079673446614,1.3524582212552259,0.94317259985912616,1.0285327113375178,-0.016733805363649611,0.012900566869374989
23,pooled_ridge,128,1.2492031228308522,1.3534587219490797,0.94923518557065056,1.0332679355289134,0,0
23,pooled_ridge,256,1.2439561603085081,1.3501960196354279,0.94391089821399787,1.030997437322267,-0.015996294388226213,0.0084647663469362214
23,per_drug_ridge,64,1.1484199687659911,1.260740304001909,0.86847376848929658,0.9576302094526683,-0.011806932331187398,0.02228036076344235
23,per_drug_ridge,128,1.1456106474855561,1.2530553282536803,0.86317863232000136,0.95143365267414803,0,0
23,per_drug_ridge,256,1.1414915407925399,1.2513213354067314,0.86099898706052869,0.95050650113326451,-0.017098929292301352,0.010737739559205242
29,pooled_ridge,64,1.297398692933972,1.422219289239288,0.9730507726106955,1.07253774134989,-0.0042964875652740653,0.027229612936479013
29,pooled_ridge,128,1.2907923656344842,1.4069484333153692,0.96970650062590813,1.0600334840124108,0,0
29,pooled_ridge,256,1.2798830050979886,1.3943589510438112,0.96103047439889566,1.0483344026538786,-0.024909010119917939,0.0036237244252698485
29,per_drug_ridge,64,1.2018600798119317,1.3347085473474714,0.90256197953016926,1.007604771114522,-0.0028162671612649071,0.03568534959202866
29,per_drug_ridge,128,1.1893808262332997,1.3134822880059307,0.89532787165116001,0.98905853160991086,0,0
29,per_drug_ridge,256,1.1734439939281611,1.29431134831523,0.88188101498049631,0.97286045568481894,-0.036308754754653338,0.0025050446619322869
31,pooled_ridge,64,1.2647990653697561,1.3693397534564349,0.95523241948496418,1.0379299982898027,-0.0038431324846045665,0.023742309816642392
31,pooled_ridge,128,1.2547885751810888,1.3570294863520069,0.94735308358518067,1.0290795082752551,0,0
31,pooled_ridge,256,1.2535883639287853,1.3570605758616272,0.94595742262406912,1.0289962580537984,-0.014504970666482974,0.012303015536379729
31,per_drug_ridge,64,1.1468328310089664,1.2605388066282242,0.85779763836870904,0.94538802229704355,-0.0028589668379996602,0.026851423023423693
31,per_drug_ridge,128,1.1359692452431518,1.2462458257617419,0.85063144935461965,0.93735041578608191,0,0
31,per_drug_ridge,256,1.1386357684849431,1.2450119637964456,0.85350022660667091,0.93731278170878196,-0.015813850926286059,0.014850995537060728
37,pooled_ridge,64,1.2800385895605966,1.4342864284216166,0.95701604225097292,1.0730162160038257,-0.017079320775107619,0.0058837845858260296
37,pooled_ridge,128,1.2853203151708443,1.4410978401291195,0.96425124024613773,1.080855274421578,0,0
37,pooled_ridge,256,1.2736226170791274,1.4223548571145552,0.95442566626195424,1.0648772884022129,-0.031399059755967178,0.0023742396522710802
37,per_drug_ridge,64,1.1827789380993745,1.3430524282824645,0.88921919029995256,1.0074880286099375,-0.017925683248251327,0.0097057687097470927
37,per_drug_ridge,128,1.1848438766904441,1.3508603804074069,0.89083687262874167,1.0109052083824999,0,0
37,per_drug_ridge,256,1.1705988813092607,1.3271708754412734,0.88237870030927024,0.99630075193806611,-0.035029864168311331,-0.0010746492116525119
