model,rmse_ci_low,rmse_ci_high,mae_ci_low,mae_ci_high,paired_rmse_delta_ci_low,paired_rmse_delta_ci_high
per_drug_ridge,1.1969256468771621,1.329700906761162,0.90454533502704715,1.004607664868769,0,0
gnn_seed_17,1.580528397958838,1.7136937661328715,1.2144691784263282,1.3243436039383365,0.35024234490971218,0.41733622320449465
gnn_seed_29,1.6463666812521156,1.7830814723026607,1.27287105369232,1.3855415487020701,0.41417979753348427,0.4844776001636153
gnn_seed_43,1.5535112301249898,1.7127844663886611,1.2118204182625874,1.3435010414919217,0.32519909898051713,0.40924996555266524
gnn_three_seed_mean,1.5954108947869086,1.7363919781772086,1.2349591096840982,1.3507023529626117,0.36583289646044309,0.43524618889932687
