model,selected_alpha,train_n,validation_n,train_rmse,train_mae,validation_rmse,validation_mae,validation_macro_drug_rmse,validation_macro_drug_mae,validation_median_defined_drug_spearman,validation_drugs,spearman_eligible_drugs,spearman_defined_drugs
per_drug_mean,,63946,13661,1.5032387306965445,1.1376735863289513,1.5282611013990794,1.1650950509523579,1.4935555351821659,1.1841318990806202,,136,136,0
pooled_ridge,10,63946,13661,1.2778954408755454,0.95749755400999137,1.3489450389432878,1.0161339710333905,1.3068410115417803,1.0317071681077461,0.52255951126153666,136,136,136
per_drug_ridge,10,63946,13661,0.98857894190623397,0.7448839522203643,1.2367083617387331,0.93515142111115857,1.2393981979940634,0.97066224358909192,0.5724838510411403,136,136,136
